日期,阶段,部门,具体任务,工时,项目编码,项目名称,labor_efficiency,收益（元）,采购成本（元）,盈利（元）,谈判状态
08/05-08/11,,IT部,调整光纤路由及网络点位，出具运营商图纸，更新底图调整弱电图纸等,22.0,GS230067-BJ09,金尚城溪设计施工项目,81.81818181818183,,,,
08/05-08/11,,机电部,机电报审图纸拆分,46.0,GS230067-BJ09,金尚城溪设计施工项目,75.0,,,,
08/05-08/11,,内审部,完成二层金属网吊顶厂家报价审核，完成自来水供应商合同谈判,7.0,GS230067-BJ09,金尚城溪设计施工项目,157.14285714285714,,,,
08/05-08/11,,私宅部,"施工配合,效果方案更新,平面方案更新",42.0,GS230067-BJ09,金尚城溪设计施工项目,114.28571428571428,,,,
08/05-08/11,,业务部Tina,,17.0,GS230067-BJ09,金尚城溪设计施工项目,102.94117647058825,,,,
08/12-08/18,,IT部,根据最新平面调整弱电施工图。,5.0,GS230067-BJ09,金尚城溪设计施工项目,360.0,,,,
08/12-08/18,,IT部,和胡工沟通最终清单，沟通合同报价等，提交线上审批流程。酒店系统软件讲解。,9.0,GS230067-BJ09,金尚城溪设计施工项目,200.0,,,,
08/12-08/18,,机电部,机电专业图纸调整,24.0,GS230067-BJ09,金尚城溪设计施工项目,143.75,,,,
08/12-08/18,,内审部,完成配电室增加的气体灭火劳务报价审核，消防室增加设备及管线的劳务报价，隔油池管道劳务报价审核，燃气劳务报价审核，小院路面铺贴、绿化劳务报价审核。,21.0,GS230067-BJ09,金尚城溪设计施工项目,52.38095238095239,,,,
08/12-08/18,,深化部,平面方案审图协助工作,2.0,GS230067-BJ09,金尚城溪设计施工项目,150.0,,,,
08/12-08/18,,私宅部,"施工配合,效果方案更新,平面方案更新",48.0,GS230067-BJ09,金尚城溪设计施工项目,100.0,,,,
08/12-08/18,,业务部Tina,,24.0,GS230067-BJ09,金尚城溪设计施工项目,72.91666666666666,,,,
08/19-08/25,,IT部,现场与供应商沟通问题,4.0,GS230067-BJ09,金尚城溪设计施工项目,450.0,,,,
08/19-08/25,,IT部,根据方案调整，多次调整弱电施工图。与金老师、胡工沟通音视频方案等。根据金老师方案寻求供应商,31.0,GS230067-BJ09,金尚城溪设计施工项目,58.06451612903226,,,,
08/19-08/25,,机电部,施工图，报审图调整，现场配合,55.0,GS230067-BJ09,金尚城溪设计施工项目,62.727272727272734,,,,
08/19-08/25,,景观部,发改委汇报,3.0,GS230067-BJ09,金尚城溪设计施工项目,250.0,,,,
08/19-08/25,,深化部,平面图纸审核，协调租户图纸问题等。,2.0,GS230067-BJ09,金尚城溪设计施工项目,150.0,,,,
08/19-08/25,,私宅部,"平面方案更新,15层效果方案更新,效果方案,方案沟通,现场勘查",66.0,GS230067-BJ09,金尚城溪设计施工项目,72.72727272727273,,,,
08/19-08/25,,业务部Tina,,16.0,GS230067-BJ09,金尚城溪设计施工项目,109.375,,,,
08/26-09/01,,IT部,设备选型沟通，机柜排布绘制,4.0,GS230067-BJ09,金尚城溪设计施工项目,450.0,,,,
08/26-09/01,,IT部,清单整理，现场问题解决等，城溪IT设备内部沟通以及其它项目事宜,23.0,GS230067-BJ09,金尚城溪设计施工项目,78.26086956521739,,,,
08/26-09/01,,机电部,二层机电图纸调整，现场配合,16.0,GS230067-BJ09,金尚城溪设计施工项目,215.625,,,,
08/26-09/01,,内审部,完成劳务（室外垫层、隔音屏、室外脚手架）报价及审核,7.0,GS230067-BJ09,金尚城溪设计施工项目,157.14285714285714,,,,
08/26-09/01,,深化部,配合现场检查，建委开会、根据现场反馈内容与设计院沟通规范问题等,10.0,GS230067-BJ09,金尚城溪设计施工项目,30.0,,,,
08/26-09/01,,私宅部,"效果方案更新,平面方案更新,施工配合,方案沟通",57.0,GS230067-BJ09,金尚城溪设计施工项目,84.21052631578947,,,,
08/26-09/01,,业务部Tina,,16.0,GS230067-BJ09,金尚城溪设计施工项目,109.375,,,,
09/02-09/08,3. 施工阶段,IT部,绘制施工阶段大样图，沟通点位，设备选型，测试鸟叫设备，现场施工安排，与音频老师对接剧场装饰相关内容等,27.0,GS230067-BJ09,金尚城溪设计施工项目,66.66666666666666,,,,
09/02-09/08,3. 施工阶段,机电部,建委图纸整理，施工图纸调整，现场勘察，,65.0,GS230067-BJ09,金尚城溪设计施工项目,53.07692307692308,,,,
09/02-09/08,,内审部,1、完成拆除及围挡搭建劳务审核；,10.0,GS230067-BJ09,金尚城溪设计施工项目,110.0,,,,
09/02-09/08,,深化部,平面方案审图及结构图相关事项沟通,1.0,GS230067-BJ09,金尚城溪设计施工项目,300.0,,,,
09/02-09/08,3. 施工阶段,私宅部,"平面方案,效果方案更新,施工配合",40.0,GS230067-BJ09,金尚城溪设计施工项目,120.0,,,,
09/02-09/08,,业务部Tina,,8.0,GS230067-BJ09,金尚城溪设计施工项目,218.75,,,,
09/09-09/15,3. 施工阶段,IT部,核对施工图，设备选型，设备采购，现场沟通，远程指导等等,45.0,GS230067-BJ09,金尚城溪设计施工项目,40.0,,,,
09/09-09/15,3. 施工阶段,内审部,1、屋面防水工程量审核，2、室外电力相关事宜推进，3、防水劳务结算审核，,12.0,GS230067-BJ09,金尚城溪设计施工项目,91.66666666666666,,,,
09/09-09/15,2. 设计阶段,设计1部,"平面方案,概念方案",3.0,GS230067-BJ09,金尚城溪设计施工项目,300.0,,,,
09/09-09/15,3. 施工阶段,深化部,租户图纸审核、外挂楼梯图纸绘制等工作,14.0,GS230067-BJ09,金尚城溪设计施工项目,21.428571428571427,,,,
09/09-09/15,3. 施工阶段,私宅部,"平面方案更新,效果方案更新,施工配合",51.0,GS230067-BJ09,金尚城溪设计施工项目,94.11764705882352,,,,
09/09-09/15,,业务部Tina,,20.0,GS230067-BJ09,金尚城溪设计施工项目,87.5,,,,
09/16-09/22,3. 施工阶段,机电部,102租户及学大教育施工图纸审核，水暖施工图纸更新,22.0,GS230067-BJ09,金尚城溪设计施工项目,156.8181818181818,,,,
09/16-09/22,3. 施工阶段,内审部,1、钢楼梯劳务报价审核，,12.0,GS230067-BJ09,金尚城溪设计施工项目,91.66666666666666,,,,
09/16-09/22,2. 设计阶段,设计1部,"平面方案,效果方案",21.0,GS230067-BJ09,金尚城溪设计施工项目,42.85714285714285,,,,
09/16-09/22,4. 竣工阶段,深化部,租户图纸审核,3.0,GS230067-BJ09,金尚城溪设计施工项目,100.0,,,,
09/16-09/22,3. 施工阶段,私宅部,"效果方案更新,平面方案更新,施工配合",43.5,GS230067-BJ09,金尚城溪设计施工项目,110.34482758620688,,,,
09/23-09/29,3. 施工阶段,IT部,根据精装调整，调整弱电施工图，金尚剧场会议，现场沟通等,19.0,GS230067-BJ09,金尚城溪设计施工项目,94.73684210526316,,,,
09/23-09/29,3. 施工阶段,机电部,二层剧场图纸深化、现场勘察及租户图纸审核及沟通,27.0,GS230067-BJ09,金尚城溪设计施工项目,127.77777777777776,,,,
09/23-09/29,3. 施工阶段,景观部,城溪绿化方案和施工,12.0,GS230067-BJ09,金尚城溪设计施工项目,62.5,,,,
09/23-09/29,3. 施工阶段,内审部,完成机房管道工程劳务报价审核,5.0,GS230067-BJ09,金尚城溪设计施工项目,220.00000000000003,,,,
09/23-09/29,3. 施工阶段,设计1部,效果方案,9.0,GS230067-BJ09,金尚城溪设计施工项目,100.0,,,,
09/23-09/29,3. 施工阶段,深化部,租户图纸审核，参加建委组织的会议,6.0,GS230067-BJ09,金尚城溪设计施工项目,50.0,,,,
09/23-09/29,3. 施工阶段,私宅部,"效果方案更新, 施工配合",58.0,GS230067-BJ09,金尚城溪设计施工项目,82.75862068965517,,,,
09/23-09/29,3. 施工阶段,业务部Tina,,18.0,GS230067-BJ09,金尚城溪设计施工项目,97.2222222222222,,,,
07/29-08/04,,IT部,行政楼替换装饰底图，调整比例及图框,3.0,GS230078-BJ11,北京嘉华学院设计项目,200.0,,,,
07/29-08/04,,机电部,审核图纸，水暖电图纸绘制，和甲方对设备利旧清单，,32.0,GS230078-BJ11,北京嘉华学院设计项目,81.25,,,,
07/29-08/04,,设计2部,"施工配合,物料手册",34.0,GS230078-BJ11,北京嘉华学院设计项目,76.47058823529412,,,,
07/29-08/04,,深化部,知行楼施工图绘制，行政楼平面、天花图绘制。体育馆包封裸漏管道，卫生间方案调整，施工图纸修改（19h）,57.0,GS230078-BJ11,北京嘉华学院设计项目,29.82456140350877,,,,
07/29-08/04,,业务部Lina,施工配合工作,1.0,GS230078-BJ11,北京嘉华学院设计项目,100.0,,,,
07/29-08/04,,预算部,设计项目（3.0小时）,3.0,GS230078-BJ11,北京嘉华学院设计项目,33.33333333333333,,,,
08/05-08/11,,机电部,现场交底，电气专业图纸调整,20.0,GS230078-BJ11,北京嘉华学院设计项目,130.0,,,,
08/05-08/11,,设计2部,"（知行楼&行政楼）,施工交底文件制作,明德楼报告厅",46.0,GS230078-BJ11,北京嘉华学院设计项目,56.52173913043478,,,,
08/05-08/11,,深化部,现场设计交底,7.0,GS230078-BJ11,北京嘉华学院设计项目,242.85714285714283,,,,
08/05-08/11,,业务部Lina,施工配合工作,0.0,GS230078-BJ11,北京嘉华学院设计项目,inf,,,,
08/12-08/18,,IT部,知行楼及行政楼和甲方沟通需求，调整弱电施工图,4.0,GS230078-BJ11,北京嘉华学院设计项目,150.0,,,,
08/12-08/18,,设计2部,"设计交底,效果方案",39.5,GS230078-BJ11,北京嘉华学院设计项目,65.82278481012658,,,,
08/12-08/18,,深化部,门表详图绘制,1.0,GS230078-BJ11,北京嘉华学院设计项目,1700.0,,,,
08/12-08/18,,业务部Lina,施工配合工作,0.1,GS230078-BJ11,北京嘉华学院设计项目,1000.0,,,,
08/12-08/18,,预算部,设计项目（1h）,1.0,GS230078-BJ11,北京嘉华学院设计项目,100.0,,,,
08/19-08/25,,设计2部,"家具材料及颜色选择,材料确认会",26.0,GS230078-BJ11,北京嘉华学院设计项目,100.0,,,,
08/19-08/25,,深化部,施工图纸根据现场格局调整,17.0,GS230078-BJ11,北京嘉华学院设计项目,100.0,,,,
08/19-08/25,,业务部Lina,设计结算核对，申请进度款,2.0,GS230078-BJ11,北京嘉华学院设计项目,50.0,,,,
08/26-09/01,,设计2部,"效果方案,施工配合,家具配合",22.0,GS230078-BJ11,北京嘉华学院设计项目,118.1818181818182,,,,
08/26-09/01,,业务部Lina,设计结算核对，申请进度款,1.0,GS230078-BJ11,北京嘉华学院设计项目,100.0,,,,
08/26-09/01,,预算部,设计项目（1h）,1.0,GS230078-BJ11,北京嘉华学院设计项目,100.0,,,,
09/02-09/08,2. 设计阶段,IT部,汇报厅及接待室，方案沟通，需求沟通，方案配合。,14.0,GS230078-BJ11,北京嘉华学院设计项目,42.85714285714285,,,,
09/02-09/08,2. 设计阶段,设计2部,施工图交底,20.5,GS230078-BJ11,北京嘉华学院设计项目,126.82926829268293,,,,
09/02-09/08,,深化部,设计交底、现场复尺、施工图绘制,27.0,GS230078-BJ11,北京嘉华学院设计项目,62.96296296296296,,,,
09/02-09/08,,业务部Lina,设计结算核对，申请进度款,1.0,GS230078-BJ11,北京嘉华学院设计项目,100.0,,,,
09/09-09/15,2. 设计阶段,IT部,根据装饰调整，调整接待厅弱电施工图。布置汇报厅点位等,8.0,GS230078-BJ11,北京嘉华学院设计项目,75.0,,,,
09/09-09/15,3. 施工阶段,设计2部,"施工配合,扩初设计交底,施工图配合,物料手册",29.5,GS230078-BJ11,北京嘉华学院设计项目,88.13559322033898,,,,
09/09-09/15,2. 设计阶段,深化部,接待室、汇报厅施工图绘制,79.0,GS230078-BJ11,北京嘉华学院设计项目,21.518987341772156,,,,
09/09-09/15,4. 竣工阶段,业务部Lina,设计结算,1.0,GS230078-BJ11,北京嘉华学院设计项目,100.0,,,,
09/16-09/22,2. 设计阶段,IT部,汇报厅图纸绘制,9.0,GS230078-BJ11,北京嘉华学院设计项目,66.66666666666666,,,,
09/16-09/22,2. 设计阶段,采购部,材料样板 设计选样,1.0,GS230078-BJ11,北京嘉华学院设计项目,150.0,,,,
09/16-09/22,5. 售后阶段,设计2部,施工配合,15.5,GS230078-BJ11,北京嘉华学院设计项目,167.74193548387098,,,,
09/16-09/22,2. 设计阶段,深化部,报告厅施工图绘制,17.0,GS230078-BJ11,北京嘉华学院设计项目,100.0,,,,
09/16-09/22,2. 设计阶段,业务部Lina,设计结算,1.0,GS230078-BJ11,北京嘉华学院设计项目,100.0,,,,
09/23-09/29,2. 设计阶段,IT部,绘制汇报厅音视频图纸，合并至弱电施工图,4.0,GS230078-BJ11,北京嘉华学院设计项目,150.0,,,,
09/23-09/29,2. 设计阶段,采购部,材料样板 设计选样,2.0,GS230078-BJ11,北京嘉华学院设计项目,75.0,,,,
09/23-09/29,2. 设计阶段,设计2部,对甲方需求,10.0,GS230078-BJ11,北京嘉华学院设计项目,260.0,,,,
09/23-09/29,2. 设计阶段,业务部Lina,进度款申请,0.5,GS230078-BJ11,北京嘉华学院设计项目,200.0,,,,
07/29-08/04,,IT部,①三星增加门禁意见开启，向预算交底；,2.0,GS240000-GZWX,2024年合同额小于20万维修改造项目,125.0,,,,
08/05-08/11,,IT部,①上海贝塔斯曼：向客户解释最终报价，确认最终实施方案。②三星半导体：所有门禁增加一键开启，向预算交底方案，配合报价。,3.0,GS240000-GZWX,2024年合同额小于20万维修改造项目,83.33333333333334,,,,
08/05-08/11,,预算部,零星事项(6h),6.0,GS240000-GZWX,2024年合同额小于20万维修改造项目,58.333333333333336,,,,
08/05-08/11,,预算部,公司年度维修(8h),8.0,GS240000-GZWX,2024年合同额小于20万维修改造项目,43.75,,,,
08/12-08/18,,预算部,公司年度维修（3h）,3.0,GS240000-GZWX,2024年合同额小于20万维修改造项目,116.66666666666669,,,,
08/12-08/18,,预算部,零星事项(1h),1.0,GS240000-GZWX,2024年合同额小于20万维修改造项目,350.0,,,,
08/12-08/18,,预算部,质保期结束阶段（3.5h）,3.5,GS240000-GZWX,2024年合同额小于20万维修改造项目,100.0,,,,
08/12-08/18,,预算部,施工报价阶段（0.5h),0.5,GS240000-GZWX,2024年合同额小于20万维修改造项目,700.0,,,,
08/19-08/25,,预算部,结算阶段（1h）,1.0,GS240000-GZWX,2024年合同额小于20万维修改造项目,350.0,,,,
08/19-08/25,,预算部,概算阶段（6h）,6.0,GS240000-GZWX,2024年合同额小于20万维修改造项目,58.333333333333336,,,,
08/19-08/25,,预算部,公司年度维修（8h）,8.0,GS240000-GZWX,2024年合同额小于20万维修改造项目,43.75,,,,
08/19-08/25,,预算部,零星工作,8.5,GS240000-GZWX,2024年合同额小于20万维修改造项目,41.17647058823529,,,,
08/26-09/01,,内审部,完成婚房装修劳务结算,4.0,GS240000-GZWX,2024年合同额小于20万维修改造项目,75.0,,,,
08/26-09/01,,深化部,现场勘察，竣工图绘制,17.0,GS240000-GZWX,2024年合同额小于20万维修改造项目,97.05882352941175,,,,
08/26-09/01,,私宅部,"概念方案,平面方案",3.0,GS240000-GZWX,2024年合同额小于20万维修改造项目,100.0,,,,
08/26-09/01,,预算部,公司年度维修（4h）,4.0,GS240000-GZWX,2024年合同额小于20万维修改造项目,87.5,,,,
08/26-09/01,,预算部,会议室更换壁纸零星报价更新(0.5小时),0.5,GS240000-GZWX,2024年合同额小于20万维修改造项目,700.0,,,,
08/26-09/01,,预算部,南京歌尔投标报价阶段(2h),2.0,GS240000-GZWX,2024年合同额小于20万维修改造项目,175.0,,,,
08/26-09/01,,预算部,歌尔桐乡投标报价阶段(1h),1.0,GS240000-GZWX,2024年合同额小于20万维修改造项目,350.0,,,,
09/02-09/08,2. 设计阶段,机电部,南京歌尔电气施工图纸,4.0,GS240000-GZWX,2024年合同额小于20万维修改造项目,100.0,,,,
09/02-09/08,,内审部,与劳务一起现场核对工程量,2.0,GS240000-GZWX,2024年合同额小于20万维修改造项目,150.0,,,,
09/02-09/08,,深化部,左家庄党建项目竣工图绘制,17.0,GS240000-GZWX,2024年合同额小于20万维修改造项目,97.05882352941175,,,,
09/02-09/08,5. 售后阶段,预算部,公司年度维修（2h）,2.0,GS240000-GZWX,2024年合同额小于20万维修改造项目,175.0,,,,
09/02-09/08,3. 施工阶段,预算部,投标报价阶段(6h)歌尔南京IT机房电力改造项目,6.0,GS240000-GZWX,2024年合同额小于20万维修改造项目,58.333333333333336,,,,
09/02-09/08,3. 施工阶段,预算部,1、首开书院大家书房项目，配合商务设计调整报价；(1h),5.0,GS240000-GZWX,2024年合同额小于20万维修改造项目,70.0,,,,
09/02-09/08,3. 施工阶段,预算部,会议室更换壁纸零星报价更新(0.5小时),0.5,GS240000-GZWX,2024年合同额小于20万维修改造项目,700.0,,,,
09/02-09/08,3. 施工阶段,预算部,投标项目：(2h）,2.0,GS240000-GZWX,2024年合同额小于20万维修改造项目,175.0,,,,
09/09-09/15,4. 竣工阶段,深化部,左家庄项目竣工图绘制,16.0,GS240000-GZWX,2024年合同额小于20万维修改造项目,103.125,,,,
09/09-09/15,1. 投标阶段,预算部,投标阶段1、供应商入库资料填写,6.0,GS240000-GZWX,2024年合同额小于20万维修改造项目,58.333333333333336,,,,
09/09-09/15,4. 竣工阶段,预算部,上海劳务王军上报3-7月份零星维修报价，与项目经理及内审负责人沟通相关内容,2.0,GS240000-GZWX,2024年合同额小于20万维修改造项目,175.0,,,,
09/09-09/15,1. 投标阶段,预算部,贝壳项目前期沟通,5.0,GS240000-GZWX,2024年合同额小于20万维修改造项目,70.0,,,,
09/16-09/22,5. 售后阶段,深化部,北二里庄项目结算资料配合甲方审核,1.0,GS240000-GZWX,2024年合同额小于20万维修改造项目,1650.0,,,,
09/23-09/29,3. 施工阶段,预算部,公司年度维修,12.0,GS240000-GZWX,2024年合同额小于20万维修改造项目,29.166666666666668,,,,
07/29-08/04,,IT部,金尚源和集成商沟通，前台区域增加智能开关，进行集中控制。,1.0,GS240001-BJ01,2024年金尚源改造,200.0,5513.65,5109.12,404.53,成功签约
08/19-08/25,,IT部,228房间与租户沟通弱电方案，绘制施工图,5.0,GS240001-BJ01,2024年金尚源改造,40.0,5513.65,5109.12,404.53,成功签约
08/19-08/25,,景观部,人间草木植物更换采购摆放,12.0,GS240001-BJ01,2024年金尚源改造,100.0,5513.65,5109.12,404.53,成功签约
08/26-09/01,,IT部,最美教师网络点位测通，电视搬位置，3层弱电竖井清理卫生,3.0,GS240001-BJ01,2024年金尚源改造,66.66666666666666,5513.65,5109.12,404.53,成功签约
08/26-09/01,,内审部,完成317、318、B1健身房装修劳务结算审核,4.0,GS240001-BJ01,2024年金尚源改造,125.0,5513.65,5109.12,404.53,成功签约
09/02-09/08,4. 竣工阶段,IT部,VIP室调整报价单，发送财务开具发票。,1.0,GS240001-BJ01,2024年金尚源改造,200.0,5513.65,5109.12,404.53,成功签约
09/02-09/08,,采购部,售后维修,2.0,GS240001-BJ01,2024年金尚源改造,100.0,5513.65,5109.12,404.53,成功签约
09/02-09/08,3. 施工阶段,机电部,二层优美厅出风口改造,2.0,GS240001-BJ01,2024年金尚源改造,75.0,5513.65,5109.12,404.53,成功签约
09/02-09/08,,内审部,1、完成317、318装修，B1健身房及三层办区装修劳务结算；,6.0,GS240001-BJ01,2024年金尚源改造,83.33333333333334,5513.65,5109.12,404.53,成功签约
09/09-09/15,5. 售后阶段,采购部,售后维修,2.0,GS240001-BJ01,2024年金尚源改造,100.0,5513.65,5109.12,404.53,成功签约
09/09-09/15,3. 施工阶段,内审部,7-8月份11项空调改造劳务报价审核,10.0,GS240001-BJ01,2024年金尚源改造,50.0,5513.65,5109.12,404.53,成功签约
09/16-09/22,5. 售后阶段,采购部,售后维修,2.0,GS240001-BJ01,2024年金尚源改造,100.0,5513.65,5109.12,404.53,成功签约
09/16-09/22,2. 设计阶段,机电部,西庭秀色厨房排油烟问题,1.0,GS240001-BJ01,2024年金尚源改造,150.0,5513.65,5109.12,404.53,成功签约
09/23-09/29,4. 竣工阶段,内审部,配合完成510空调风机盘管更换工程，二层新风机房给水及冷凝水管道改造工程，地下一层排烟机房更换排烟风机工程劳务报价审核。,4.0,GS240001-BJ01,2024年金尚源改造,125.0,5513.65,5109.12,404.53,成功签约
07/29-08/04,,IT部,沟通需求，拉通厂商及方案设计，绘制图纸。,18.0,GS240037-HB02,邢台面粉厂片区改造一期地库设计项目,63.888888888888886,6876098.33,5241144.17,1634954.16,谈判中
07/29-08/04,,机电部,电气图纸绘制,8.0,GS240037-HB02,邢台面粉厂片区改造一期地库设计项目,100.0,6876098.33,5241144.17,1634954.16,谈判中
07/29-08/04,,设计3部,"施工图审核,扩初设计",18.0,GS240037-HB02,邢台面粉厂片区改造一期地库设计项目,16.666666666666664,6876098.33,5241144.17,1634954.16,谈判中
